Predictor Set,Algorithm,R2 Mean,R2 Std,RMSE Mean,MAE Mean,R2 (mean ± std),RMSE,MAE
Biochemistry only,ElasticNet,0.6360766531256244,0.0,0.6475623435622012,0.5131654069976487,0.636 ± 0.000,0.648,0.513
Biochemistry only,XGBoost,0.4922770986972574,0.013239388085085626,0.779540928430378,0.588454480237301,0.492 ± 0.013,0.780,0.588
Biochemistry only,LightGBM,0.49458221545070485,0.013365066766252723,0.7792835001355368,0.5876926438995309,0.495 ± 0.013,0.779,0.588
Lifestyle only,ElasticNet,-0.027108942660453116,0.0,1.0988795748913334,0.8026271146423749,-0.027 ± 0.000,1.099,0.803
Lifestyle only,XGBoost,0.1127324774552648,0.010446153231817806,1.0321528037476457,0.7663491375196527,0.113 ± 0.010,1.032,0.766
Lifestyle only,LightGBM,0.12594853297136754,0.005693401062005556,1.0250054464342742,0.7602422314617743,0.126 ± 0.006,1.025,0.760
Full Multimodal,ElasticNet,0.736069496060024,0.0,0.5531425508187365,0.4343316794934897,0.736 ± 0.000,0.553,0.434
Full Multimodal,XGBoost,0.6124474541586455,0.01076098611035769,0.6813175751712841,0.4909464264396071,0.612 ± 0.011,0.681,0.491
Full Multimodal,LightGBM,0.6125405601645528,0.0073444717595901555,0.682828469875875,0.49434564408873716,0.613 ± 0.007,0.683,0.494
